# Calibrated 2026-05-23 against the live AC world DB on the server host.
# Source: a nightly world-DB dump (wow-20260523-040156.sql.gz).
# Query: mean(stat_value1..3) of item_template rows with class IN (2,4)
#        (weapons + armor), Quality IN (2,3,4), grouped by ilvl band.
# The parser script (calibrate.py) is run against that dump on the server host.
#
# Stat amounts target ~+10% of the mean for that band/quality, rounded to int,
# clamped to min 1 (per the spec — bumps below +1 are too small to feel).
#
# Buckets with low confidence (n_items < 5, all-QA-debug pollution, or no stats
# in dump) fall back to the plan's hand-picked defaults and are tagged LOW_CONF
# in the band_label column.
#
# Columns:
#   id, band, quality, band_label, description, effect_type, effect_amount, effect_stat (x3)
# effect_type: 5 = ITEM_ENCHANTMENT_TYPE_STAT
# effect_stat (ITEM_MOD_*): 3=AGI, 4=STR, 5=INT, 6=SPI, 7=STA, 31=HIT_RATING, 32=CRIT_RATING, 35=HASTE_RATING
# Stat 1 column is always a primary stat (STR is used as a placeholder per spec
# §12 known limitation — v1.0 does not pick str/agi/int dynamically). Stat 2 is
# STAMINA. Stat 3 is CRIT_RATING as a default secondary.
#
# id,band,quality,band_label,description,effect1_type,effect1_amount,effect1_stat,effect2_type,effect2_amount,effect2_stat,effect3_type,effect3_amount,effect3_stat
70001,1-25,2,Band1-25 Uncommon,"Warforged",5,1,4,5,1,7,5,1,32
70002,1-25,3,Band1-25 Rare,"Warforged",5,1,4,5,1,7,5,1,32
70003,1-25,4,Band1-25 Epic LOW_CONF,"Warforged",5,2,4,5,2,7,5,2,32
70011,26-50,2,Band26-50 Uncommon,"Warforged",5,1,4,5,1,7,5,1,32
70012,26-50,3,Band26-50 Rare,"Warforged",5,1,4,5,1,7,5,1,32
70013,26-50,4,Band26-50 Epic,"Warforged",5,1,4,5,1,7,5,1,32
70021,51-80,2,Band51-80 Uncommon,"Warforged",5,1,4,5,1,7,5,1,32
70022,51-80,3,Band51-80 Rare,"Warforged",5,1,4,5,1,7,5,1,32
70023,51-80,4,Band51-80 Epic,"Warforged",5,2,4,5,2,7,5,1,32
70031,81-115,2,Band81-115 Uncommon,"Warforged",5,2,4,5,2,7,5,2,32
70032,81-115,3,Band81-115 Rare,"Warforged",5,3,4,5,2,7,5,2,32
70033,81-115,4,Band81-115 Epic,"Warforged",5,3,4,5,2,7,5,2,32
70041,116-150,2,Band116-150 Uncommon,"Warforged",5,4,4,5,3,7,5,3,32
70042,116-150,3,Band116-150 Rare,"Warforged",5,4,4,5,3,7,5,3,32
70043,116-150,4,Band116-150 Epic,"Warforged",5,4,4,5,3,7,5,3,32
70051,151-200,2,Band151-200 Uncommon,"Warforged",5,5,4,5,4,7,5,6,32
70052,151-200,3,Band151-200 Rare,"Warforged",5,5,4,5,5,7,5,5,32
70053,151-200,4,Band151-200 Epic,"Warforged",5,6,4,5,5,7,5,4,32
70061,201+,2,Band201+ Uncommon LOW_CONF,"Warforged",5,11,4,5,10,7,5,8,32
70062,201+,3,Band201+ Rare LOW_CONF,"Warforged",5,13,4,5,12,7,5,9,32
70063,201+,4,Band201+ Epic,"Warforged",5,12,4,5,10,7,5,8,32
